City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Walvis Bay,NA,-22.9575,14.5053,56.35,94,56,4.61,broken clouds
293,Russell,US,32.3502,-85.1999,70.83,71,0,5.01,clear sky
294,Ishigaki,JP,24.3448,124.1572,84.33,74,75,18.41,broken clouds
295,San Juan,AR,-31.5375,-68.5364,65.5,24,95,3.96,overcast clouds
296,Morehead,US,37.2711,-87.1764,67.78,97,40,0.0,mist
297,Tipperary,IE,52.4733,-8.1558,40.05,93,6,2.35,clear sky
298,Lavrentiya,RU,65.5833,-171.0,43.79,94,100,31.05,moderate rain
299,Yumen,CN,40.2833,97.2,75.2,18,3,13.82,clear sky
300,Elizabeth City,US,36.2946,-76.2511,62.6,86,0,3.44,clear sky
301,Ilulissat,GL,69.2167,-51.1,30.65,91,82,2.26,broken clouds
302,Tonj,SS,7.2737,28.6822,69.78,95,98,1.97,overcast clouds
303,Aksu,CN,41.1231,80.2644,79.93,18,96,5.37,overcast clouds
304,Brownwood,US,31.7093,-98.9912,81.72,65,0,9.17,clear sky
305,Chipurupalle,IN,18.3,83.5667,88.21,60,100,2.77,overcast clouds
306,Tabira,BR,-7.5908,-37.5394,64.76,80,6,5.79,clear sky
307,Peleduy,RU,59.6289,112.7406,43.14,96,99,8.32,light rain
308,Trincomalee,LK,8.5711,81.2335,88.32,57,84,11.92,broken clouds
309,Port Blair,IN,11.6667,92.75,77.04,100,75,5.75,moderate rain
310,Kailua,US,21.4022,-157.7394,80.15,85,100,0.0,overcast clouds
311,Torbay,CA,47.6666,-52.7314,56.57,91,75,12.66,broken clouds
312,Paamiut,GL,61.994,-49.6678,46.78,98,100,4.41,moderate rain
313,Matina,CR,10.0761,-83.2895,76.15,90,96,2.98,overcast clouds
314,Thunder Bay,CA,48.4001,-89.3168,57.11,100,100,11.5,mist
315,Ngaoundere,CM,7.3167,13.5833,63.99,98,100,2.19,light rain
316,Axim,GH,4.8699,-2.2405,73.81,95,100,5.86,overcast clouds
317,Pedernales,DO,18.0384,-71.744,82.72,71,94,3.49,overcast clouds
318,Pochutla,MX,15.7432,-96.4661,73.81,89,63,6.33,broken clouds
319,Banda Aceh,ID,5.5577,95.3222,86.61,63,81,15.84,broken clouds
320,Tezu,IN,27.9167,96.1667,83.07,84,99,1.54,overcast clouds
321,Maningrida,AU,-12.0667,134.2667,88.99,48,36,14.56,scattered clouds
322,Dingle,PH,10.9995,122.6711,86.77,69,92,13.87,overcast clouds
323,Sawtell,AU,-30.3833,153.1,84.18,57,40,14.97,scattered clouds
324,Geraldton,AU,-28.7667,114.6,70.21,56,75,11.5,broken clouds
325,Guilin,CN,25.2819,110.2864,93.31,42,2,6.71,clear sky
326,Nanortalik,GL,60.1432,-45.2371,47.03,90,100,5.99,light rain
327,Deputatskiy,RU,69.3,139.9,34.05,83,75,5.01,light snow
328,Ahipara,NZ,-35.1667,173.1667,56.12,59,84,5.86,broken clouds
329,Hearst,CA,49.6835,-83.6665,48.45,90,100,6.24,overcast clouds
330,Ostrovnoy,RU,68.0531,39.5131,49.86,95,100,9.01,overcast clouds
331,Shar,KZ,49.5886,81.0453,55.22,42,0,3.24,clear sky
332,Rumoi,JP,43.9344,141.6428,70.99,78,100,7.31,overcast clouds
333,Sri Aman,MY,1.2376,111.4621,86.09,70,20,2.3,few clouds
334,Prince Rupert,CA,54.3161,-130.3201,55.09,86,75,5.75,broken clouds
335,Piacabucu,BR,-10.4056,-36.4344,70.84,83,3,5.32,clear sky
336,Nitchidorf,RO,45.5833,21.5333,56.95,92,100,7.49,light rain
337,Muroto,JP,33.2833,134.15,80.91,89,100,26.08,moderate rain
338,Ereymentau,KZ,51.6199,73.1033,54.43,39,72,10.71,broken clouds
339,Eirunepe,BR,-6.6603,-69.8736,71.53,76,79,2.68,broken clouds
340,Namatanai,PG,-3.6667,152.4333,85.28,61,48,10.51,scattered clouds
341,Orsha,BY,54.5153,30.4053,46.36,80,10,12.86,clear sky
342,Rio Gallegos,AR,-51.6226,-69.2181,39.25,56,75,13.8,broken clouds
343,Pangnirtung,CA,66.1451,-65.7125,40.3,73,100,5.3,overcast clouds
